atlas_index,tile_id,section,section_group,split,split_index,generator_id,architecture,generator_exposure,sample_id,relative_path,sha256,width,height,format,byte_size,candidate_images_for_generator,generator_selection_rule,selection_rule
58,TR058,Training set,Train exact generators,train,58,stablediffusionapi/realistic-vision-v13,LatDiff,train_seen,cf_train_aigi_2fce496a2b3aa184,train/aigi/cf_train_aigi_2fce496a2b3aa184_00000147.png.png,2fa6b244eff93005fb38d34e579a9803d1c51341f42730cdb448219c13aa44a5,512,512,PNG,387216,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
59,TR059,Training set,Train exact generators,train,59,stablediffusionapi/strongly-styled,LatDiff,train_seen,cf_train_aigi_fb8476f5d7b7e5ce,train/aigi/cf_train_aigi_fb8476f5d7b7e5ce_00000161.png.png,0f48a64dc854e1feeb3a245a376a076728dae6d061ff67313c93f365f8697533,512,512,PNG,261622,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
60,TR060,Training set,Train exact generators,train,60,stylegan2-ada,GAN,train_seen,cf_train_aigi_4eb1ceaff9599053,train/aigi/cf_train_aigi_4eb1ceaff9599053_004212.png.png,0f5ebd7c9e7caf90170da71e6e0f3856581a7da3af8090340b9e59863dfb6cd0,1024,1024,PNG,1201969,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
61,TR061,Training set,Train exact generators,train,61,sushma16/rabbit,LatDiff,train_seen,cf_train_aigi_f748c2aade9fcce6,train/aigi/cf_train_aigi_f748c2aade9fcce6_00000036.png.png,0a9c6a5e58cb01144c4f99fa1d7cc9c92f69c4b6815b6f8f74240723a5eb0c35,512,512,PNG,461815,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
62,TR062,Training set,Train exact generators,train,62,sztanki/hulk-style-v2,LatDiff,train_seen,cf_train_aigi_0e224ef312e32a26,train/aigi/cf_train_aigi_0e224ef312e32a26_00000463.png.png,0d64e9ad2ea15dbefa3edce12d852f215dec00ca66c65e5ad088a0439deebf4c,512,512,PNG,319814,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
63,TR063,Training set,Train exact generators,train,63,tftgregrge/mpid-hassanblend-v1-4-main-v2,LatDiff,train_seen,cf_train_aigi_180505ce796ce243,train/aigi/cf_train_aigi_180505ce796ce243_00000013.png.png,0b865343d5872128a4654d58293f6a6ff987d3d57bc3471f757203805a5e69ab,512,512,PNG,461291,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
64,TR064,Training set,Train exact generators,train,64,tommy19970714/noda-model,LatDiff,train_seen,cf_train_aigi_8a28d672a24ab4d2,train/aigi/cf_train_aigi_8a28d672a24ab4d2_00000188.png.png,0a3c6aeedd8742082fb0638bf4a5b5a3e90321669a3be1b2c02af14eb880b8eb,512,512,PNG,562040,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
65,TR065,Training set,Train exact generators,train,65,vuducquang/landscape-style,LatDiff,train_seen,cf_train_aigi_67b5962775b99dd5,train/aigi/cf_train_aigi_67b5962775b99dd5_00000332.png.png,006ece8a7e0d7feb2af0d58df39f79e6f4913af00545e59210c40d465423bfef,512,512,PNG,478845,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
66,TR066,Training set,Train exact generators,train,66,xero5000/my-pet-dog-and-cat,LatDiff,train_seen,cf_train_aigi_fab3ae662b1d99c6,train/aigi/cf_train_aigi_fab3ae662b1d99c6_00000099.png.png,0a5810dd05395a6fb88e373f8fa66585124095f7782668263c4840bb3c9b3d0b,512,512,PNG,383763,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
67,TR067,Training set,Train exact generators,train,67,yahyasmt/brain-tumor-3,LatDiff,train_seen,cf_train_aigi_8068ffdb71ce28a8,train/aigi/cf_train_aigi_8068ffdb71ce28a8_00000395.png.png,05bca27f523420e40509ed27e2f8ca96a573101716132b372a400a823ba3f62c,512,512,PNG,479813,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
68,TR068,Training set,Train exact generators,train,68,yntec/fennphoto,LatDiff,train_seen,cf_train_aigi_f0facee0c65d6b72,train/aigi/cf_train_aigi_f0facee0c65d6b72_00000162.png.png,061e2c2205325531fedfbc20b2664dba0ff9a2ccba7aa568596da71769bf4a1b,512,512,PNG,367810,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
69,TR069,Training set,Train exact generators,train,69,zlikwid/zlikwidv2,LatDiff,train_seen,cf_train_aigi_e274b1ef1d1cb09c,train/aigi/cf_train_aigi_e274b1ef1d1cb09c_00000204.png.png,06e4f931a028d10ab69d4e2d1a9aac08d57db108ebf9210fe9c0a2201d808929,512,512,PNG,457392,10,Keep all generators in architecture families with <=5 generators; allocate remaining slots proportionally and rank generators by SHA256(seed:canonical_generator_id).,"minimum (sha256, sample_id) within split and exact generator"
70,SF001,External test · seen architecture family,Test · family-seen / exact-unseen,test_external_seen_family,1,decidiffusionv2,LatDiff,family_seen,cf_test_external_seen_family_aigi_87b07c94aef77d1c,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_87b07c94aef77d1c_000369.png.png,01476b23354d79e57923480e166fc5ab65718beae52c2be820efd689761c497e,512,512,PNG,502375,111,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
71,SF002,External test · seen architecture family,Test · family-seen / exact-unseen,test_external_seen_family,2,dfgan,GAN,family_seen,cf_test_external_seen_family_aigi_d0ac10cccbdf9216,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_d0ac10cccbdf9216_000441.png.png,0c0e9406442dd79225a7eba930ecbe90e7fd53ae361dc3f0c1a5479075d45837,256,256,PNG,109057,111,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
72,SF003,External test · seen architecture family,Test · family-seen / exact-unseen,test_external_seen_family,3,galip,GAN,family_seen,cf_test_external_seen_family_aigi_33ae9eb921a6df76,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_33ae9eb921a6df76_000263.png.png,0071b1e6344fe464faad7f7b96ded5711691d16b811f44c4de175fcb0c779f7c,224,224,PNG,110364,111,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
73,SF004,External test · seen architecture family,Test · family-seen / exact-unseen,test_external_seen_family,4,hourglass,PixDiff,family_seen,cf_test_external_seen_family_aigi_78feaf203ca3f82f,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_78feaf203ca3f82f_000294.png.png,005014bf47a109129c9c358a30b358fa657b0e41f7b81793b4980af4c6cf957d,1024,1024,PNG,1295626,111,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
74,SF005,External test · seen architecture family,Test · family-seen / exact-unseen,test_external_seen_family,5,kandinsky-2-2,LatDiff,family_seen,cf_test_external_seen_family_aigi_fe6eeb9347f1a5d0,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_fe6eeb9347f1a5d0_000302.png.png,02edc0781ed0d95a79650d43876f7364fa0b39f3316c0be1bb6ef6f1f7c3d654,768,768,PNG,961811,111,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
75,SF006,External test · seen architecture family,Test · family-seen / exact-unseen,test_external_seen_family,6,kvikontent-midjourney-v6,LatDiff,family_seen,cf_test_external_seen_family_aigi_74a0d3ad36c8196f,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_74a0d3ad36c8196f_000752.png.png,0142954a390c2a2ea59606394ceecba00782f839e7eb20b9ea065efc8881d2b8,512,512,PNG,452950,111,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
76,SF007,External test · seen architecture family,Test · family-seen / exact-unseen,test_external_seen_family,7,lcm-lora-sdv15,LatDiff,family_seen,cf_test_external_seen_family_aigi_8557d5e652264abd,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_8557d5e652264abd_000939.png.png,00d0f14933cb693355b66a59ced3dca931957c12ffeb3ca5ab8d43005fd7dc47,512,512,PNG,364173,112,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
77,SF008,External test · seen architecture family,Test · family-seen / exact-unseen,test_external_seen_family,8,lcm-lora-sdxl,LatDiff,family_seen,cf_test_external_seen_family_aigi_0ae4091529776f75,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_0ae4091529776f75_000696.png.png,03c7bc15688a73c12e021775e37d53e56fd77f2b0ca1d5ae30d6d029ea8dec7d,1024,1024,PNG,1588295,111,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
78,SF009,External test · seen architecture family,Test · family-seen / exact-unseen,test_external_seen_family,9,lcm-lora-ssd1b,LatDiff,family_seen,cf_test_external_seen_family_aigi_7ec18b53daa15338,test_external_seen_family/aigi/cf_test_external_seen_family_aigi_7ec18b53daa15338_000105.png.png,011bb98bc6a81335790bc8b69c8e5eaf247529db4ce62de2f8409b2766bf58fc,1024,1024,PNG,1476951,111,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
79,UF001,External test · unseen architecture family,Test · family-unseen / exact-unseen,test_external_unseen_generator,1,dalle2,Commercial,strict_unseen,cf_test_external_unseen_generator_aigi_2540344b4fee2974,test_external_unseen_generator/aigi/cf_test_external_unseen_generator_aigi_2540344b4fee2974_00000072.png.png,029ff5659cf1d3ac9a44550dce7c37eef66001987bc0d23062d9920e90d45999,1024,1024,PNG,1643845,83,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
80,UF002,External test · unseen architecture family,Test · family-unseen / exact-unseen,test_external_unseen_generator,2,dalle3,Commercial,strict_unseen,cf_test_external_unseen_generator_aigi_ba9cc693c876314c,test_external_unseen_generator/aigi/cf_test_external_unseen_generator_aigi_ba9cc693c876314c_00000133.png.png,02202f940415fcaf24b8162ea65db60d916fb93bb4f6709ac4a8e33a15806a8b,1024,1024,PNG,1729903,84,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
81,UF003,External test · unseen architecture family,Test · family-unseen / exact-unseen,test_external_unseen_generator,3,firefly-image2,Commercial,strict_unseen,cf_test_external_unseen_generator_aigi_95d348b2aa4aa578,test_external_unseen_generator/aigi/cf_test_external_unseen_generator_aigi_95d348b2aa4aa578_00000278_1.jpg.jpg,00427b88daba63c9c7e398eb96497361584bb9180e3430e25b3c166a3bd39446,2048,2048,JPEG,432241,83,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
82,UF004,External test · unseen architecture family,Test · family-unseen / exact-unseen,test_external_unseen_generator,4,firefly-image3,Commercial,strict_unseen,cf_test_external_unseen_generator_aigi_22f94b585290ba65,test_external_unseen_generator/aigi/cf_test_external_unseen_generator_aigi_22f94b585290ba65_00000382_3.jpg.jpg,002bcbfd9c7ba82156a518e24ee468f32e754ced66a0f162fb0a552471dac336,2048,2048,JPEG,369194,84,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
83,UF005,External test · unseen architecture family,Test · family-unseen / exact-unseen,test_external_unseen_generator,5,flux-dev,Commercial,strict_unseen,cf_test_external_unseen_generator_aigi_3c95aba2c584e178,test_external_unseen_generator/aigi/cf_test_external_unseen_generator_aigi_3c95aba2c584e178_00000007.png.png,0485e55962c3dbe31af4c1d6a84b3d33b9a1425cb77ced14373ec1df637bcafd,512,512,PNG,224410,83,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
84,UF006,External test · unseen architecture family,Test · family-unseen / exact-unseen,test_external_unseen_generator,6,flux-schnell,Commercial,strict_unseen,cf_test_external_unseen_generator_aigi_5f290e316b53fae8,test_external_unseen_generator/aigi/cf_test_external_unseen_generator_aigi_5f290e316b53fae8_00000461.png.png,00febdf01ea60fb7024c5bfb2ba78a7de3d87b4e9d49c128a1bb6cd8dfb6a44b,512,512,PNG,169251,83,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
85,UF007,External test · unseen architecture family,Test · family-unseen / exact-unseen,test_external_unseen_generator,7,ideogramv1,Commercial,strict_unseen,cf_test_external_unseen_generator_aigi_8fe22a4a031d9616,test_external_unseen_generator/aigi/cf_test_external_unseen_generator_aigi_8fe22a4a031d9616_00000538.png.png,0c264480c0f15b0cd76aba4c14fd2d83d6f50a8531a25b7d60e091bf7c9cb2ff,1024,1024,PNG,1737438,84,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
86,UF008,External test · unseen architecture family,Test · family-unseen / exact-unseen,test_external_unseen_generator,8,ideogramv2,Commercial,strict_unseen,cf_test_external_unseen_generator_aigi_ee50ab8b4124e22b,test_external_unseen_generator/aigi/cf_test_external_unseen_generator_aigi_ee50ab8b4124e22b_00000224.png.png,03e5ef4d5c40a7e3800f2b1d48747eb57d7e6ea5e5520effcc1be99376e5cf05,1024,1024,PNG,1867571,83,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
87,UF009,External test · unseen architecture family,Test · family-unseen / exact-unseen,test_external_unseen_generator,9,imagen3,Commercial,strict_unseen,cf_test_external_unseen_generator_aigi_77997f6c82bc95e7,test_external_unseen_generator/aigi/cf_test_external_unseen_generator_aigi_77997f6c82bc95e7_00000136_3.png.png,015c8edadc84201f44200bfffcc330f840a066626658a251f9ad28361c82f8f8,1024,1024,PNG,1222227,83,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
88,UF010,External test · unseen architecture family,Test · family-unseen / exact-unseen,test_external_unseen_generator,10,midjourneyv5-2,Commercial,strict_unseen,cf_test_external_unseen_generator_aigi_7c87437eab38b59b,test_external_unseen_generator/aigi/cf_test_external_unseen_generator_aigi_7c87437eab38b59b_00000355_0.png.png,047bce5f7afddb79c1d5d3bba21b0f53d759833ee96b0e85a9cda6308cdc7b5a,1024,1024,PNG,1562043,84,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
89,UF011,External test · unseen architecture family,Test · family-unseen / exact-unseen,test_external_unseen_generator,11,midjourneyv6-1,Commercial,strict_unseen,cf_test_external_unseen_generator_aigi_fb945f56c2caa8b9,test_external_unseen_generator/aigi/cf_test_external_unseen_generator_aigi_fb945f56c2caa8b9_00000223_2.png.png,009b5747304acf735403016fe5ceedbe69be575cd822dc4b63f7dd5c13b099cf,1024,1024,PNG,1134102,83,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
90,UF012,External test · unseen architecture family,Test · family-unseen / exact-unseen,test_external_unseen_generator,12,stable-cascade,Other,strict_unseen,cf_test_external_unseen_generator_aigi_121bb1d90550d6b2,test_external_unseen_generator/aigi/cf_test_external_unseen_generator_aigi_121bb1d90550d6b2_000100.png.png,00bfac7495a09e33f1e5298b9b1ac1e0877b78cae56f4effbf839794c94c874d,1024,1024,PNG,918487,83,all test generators retained,"minimum (sha256, sample_id) within split and exact generator"
